accession_number,geneSymbol,signalP,TM,,,
Q91X17,Umod,YES,NA,,,
Q8VCY6,Utp6,NA,NA,,,
Q9CZT5,Vasn,YES,YES,,,
P29533,Vcam1,YES,NA,,,
K7N784,Vmn2r4,YES,YES,,,
Q9QZ25,Vnn3,YES,NA,,,
Q8BX70,Vps13c,NA,NA,,,
P29788,Vtn,YES,NA,,,
Q3U515,Vwce,YES,NA,,,
Q3TPE1,Vwf,YES,NA,,,
Q8CGF6,Wdr47,NA,NA,,,
Q9EPL0,Xylt2,NA,NA,,,
Q9CQV8,Ywhab,NA,NA,,,
E9QA60,Zfp626,NA,NA,,,
Q8CE64,Znf276,NA,NA,,,
